Time,timeStamp,avgnoise,magRMS,maxnoise,temperature,totalAccel,xtRaccel,xtRv,ytRaccel,ytRv,ztRaccel,ztRv
2024-03-07 06:14:24,1.70979E+12,89.16228,"[{""N"":""518.3057""},{""N"":""698.9634""},{""N"":""1604.481""}]",89.16228,37.0625,3.18,1.237903,4.857045,2.249542,12.76064,1.872599,11.83053
2024-03-07 06:13:25,1.70979E+12,87.29264,"[{""N"":""553.6348""},{""N"":""645.4485""},{""N"":""1563.322""}]",87.29264,37.0625,3.13,1.23812,5.392379,2.181715,12.09944,1.873886,11.4176
2024-03-07 06:12:24,1.70979E+12,87.92953,"[{""N"":""511.9447""},{""N"":""692.9934""},{""N"":""1570.99""}]",87.92953,37,3.34,1.381976,6.521302,2.253051,12.7394,2.034658,12.68602
2024-03-07 06:11:25,1.70979E+12,87.93231,"[{""N"":""530.0865""},{""N"":""666.3721""},{""N"":""1546.116""}]",87.93231,37,3.17,1.21234,4.972972,2.222414,12.51875,1.910323,11.72061
2024-03-07 06:10:24,1.70979E+12,90.01938,"[{""N"":""503.2938""},{""N"":""681.1807""},{""N"":""1563.885""}]",90.01938,37,3.06,1.22424,5.365357,2.115757,12.21753,1.834793,11.79583
2024-03-07 06:09:24,1.70979E+12,88.98132,"[{""N"":""526.0508""},{""N"":""676.7501""},{""N"":""1540.172""}]",88.98132,37,3.13,1.186079,5.0264,2.208607,12.78638,1.880156,11.84163
2024-03-07 06:08:25,1.70979E+12,89.65799,"[{""N"":""566.2231""},{""N"":""636.2512""},{""N"":""1568.548""}]",89.65799,37,3.37,1.372854,6.513137,2.295355,12.80423,2.043826,12.54535
2024-03-07 06:07:24,1.70979E+12,89.06228,"[{""N"":""520.2518""},{""N"":""702.688""},{""N"":""1577.236""}]",89.06228,37,3.1,1.245561,5.531806,2.120195,11.82017,1.880981,11.53231
2024-03-07 06:06:25,1.70979E+12,87.50805,"[{""N"":""540.5104""},{""N"":""659.7517""},{""N"":""1548.772""}]",87.50805,36.9375,3.11,1.291089,5.805948,2.12926,11.65099,1.865804,11.4223
2024-03-07 06:05:24,1.70979E+12,88.97405,"[{""N"":""510.5735""},{""N"":""626.7267""},{""N"":""1566.578""}]",88.97405,36.9375,3.17,1.265784,4.947115,2.28119,12.2741,1.807886,11.07965
2024-03-07 06:04:25,1.70979E+12,90.67316,"[{""N"":""508.7432""},{""N"":""671.2115""},{""N"":""1578.236""}]",90.67316,36.9375,3.07,1.227775,5.239396,2.154623,12.01053,1.813293,11.33767
